Sequence,Station Types,Station Quantity,Maximum Distance,Minimum Points,Name,Algorithm,Metric,Method,Seed,Generated Cluster Count,Valid Cluster Count,Clustered Station Count,Unclsutered Noise Count,Average Node Degree,Silhouette Coefficient,Calinski Harabaz score,Davies Bouldin score,Dunn Index,Modularity,Conductance Average,Coverage Score,Performance Score
56,['HN' 'LN'],281,20.0,5,HDBSCAN,best,haversine,leaf,None,4,4,97,184,31.7113402062,-0.106698147282,12.4243652429,1.85271550212,0.00351692137303,0.371434304999,0.323598423575,0.672319806178,0.976664972039
57,['HN' 'LN'],281,30.0,5,HDBSCAN,best,haversine,leaf,None,6,6,130,151,29.5769230769,-0.0662794586641,18.0606863118,1.40781531593,0.00351692137303,0.389368709102,0.26669246895,0.688780487805,0.958591764108
58,['HN' 'LN'],281,40.0,5,HDBSCAN,best,haversine,leaf,None,5,5,124,157,36.0403225806,-0.0626462834217,13.7359074812,1.8159583423,0.00351692137303,0.385119841099,0.415124855119,0.668009669621,0.960269445857
59,['HN' 'LN'],281,50.0,5,HDBSCAN,best,haversine,leaf,None,7,7,157,124,34.7770700637,0.0175575796148,13.8913919594,1.95455628065,0.00351692137303,0.402285397317,0.383753202171,0.668122270742,0.95871886121
60,['HN' 'LN'],281,10.0,2,OPTICS,auto,haversine,xi,None,3,3,16,265,16.3125,-0.38865619291,5.92453647119,1.40724882563,0.00123554407635,0.0213575433096,0.602298350245,0.0438144329897,0.981113370615
61,['HN' 'LN'],281,20.0,2,OPTICS,auto,haversine,xi,None,38,38,101,180,22.7722772277,-0.287131940956,2.1025227647,1.7674376452,0.000393752782259,0.0307799432167,0.822767037627,0.061175045427,0.960599898322
62,['HN' 'LN'],281,30.0,2,OPTICS,auto,haversine,xi,None,52,52,141,140,20.3617021277,-0.179073722513,2.32156122983,2.55424270809,0.000406666942625,0.0433669244497,0.736292360168,0.0687804878049,0.951296390442
63,['HN' 'LN'],281,40.0,2,OPTICS,auto,haversine,xi,None,62,62,169,112,20.1656804734,-0.0989213152551,3.51543984505,2.30346451615,0.000406666942625,0.0488607417402,0.765126693566,0.0692989524577,0.941001525165
64,['HN' 'LN'],281,50.0,2,OPTICS,auto,haversine,xi,None,70,70,197,84,20.7563451777,-0.055867252551,6.54042966913,2.54047315317,0.000430020926583,0.0525080933445,0.766055267106,0.070204904266,0.929257752923
65,['HN' 'LN'],281,10.0,3,OPTICS,auto,haversine,xi,None,16,16,70,211,12.6857142857,-0.361862371555,3.95641845377,1.92009286739,0.000244734071176,0.136131297162,0.562914787193,0.176546391753,0.9837061515
66,['HN' 'LN'],281,20.0,3,OPTICS,auto,haversine,xi,None,16,16,86,195,26.9534883721,-0.300960929669,4.72533300155,2.16530805386,0.000244734071176,0.107218758816,0.716691853371,0.169594185342,0.965073716319
67,['HN' 'LN'],281,30.0,3,OPTICS,auto,haversine,xi,None,17,17,98,183,27.1632653061,-0.28170717075,5.07618185086,2.49714428033,0.000244734071176,0.0975518143962,0.649382395883,0.149268292683,0.95521098119
68,['HN' 'LN'],281,40.0,3,OPTICS,auto,haversine,xi,None,22,22,120,161,25.1583333333,-0.230120765401,5.74106479099,1.99335063364,0.000244734071176,0.0976709991228,0.654350508267,0.141015310234,0.945297407219
69,['HN' 'LN'],281,50.0,3,OPTICS,auto,haversine,xi,None,26,26,147,134,23.7482993197,-0.170412564877,9.27161591302,1.6605318131,0.000244734071176,0.100361364121,0.650360912012,0.137386630836,0.933451957295
70,['HN' 'LN'],281,10.0,4,OPTICS,auto,haversine,xi,None,8,8,51,230,13.8235294118,-0.338380310454,7.02591312492,1.36917176475,0.000566287424054,0.160345978584,0.508846496663,0.216494845361,0.984468734113
